time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W,soc
107,25.06644783868194,28.08964121455506,12.269134296627499,840.4934681480381,0.39518720320716055,0.0,0.7903407629906174,0.3226833370672504,32.0,3.0,8.0,600.0,445.9522383281312,296.47394599133827,149.47829233679292,0.021666666666666667
108,25.06205413328371,28.08937724982337,12.325302442977488,840.3671140908802,0.3969609389126704,0.0,0.7935434425147718,0.3254879088091104,32.0,3.0,8.0,600.0,443.5781531024166,295.47496736544133,148.10318573697526,0.01999999999999999
109,25.037706252651162,28.07355019742664,12.311493502008886,840.3625124843688,0.39951619102935354,0.0,0.7985433961683007,0.330135365331444,32.0,3.0,8.0,600.0,446.8458563151459,296.9348994363683,149.9109568787776,0.01833333333333334
110,25.03897419279889,28.09055112555035,12.235598883430612,840.55101186531,0.3997868650862629,0.0,0.799248254629181,0.33057063986485413,32.0,3.0,8.0,600.0,451.80292188654664,299.0403990005458,152.76252288600085,0.016666666666666663
111,25.055425978921278,28.124743898006045,12.188308357620372,840.5353884615474,0.39750790418123244,0.0,0.7949872678701115,0.3267744724293974,32.0,3.0,8.0,600.0,452.4309930947985,299.26359166864455,153.16740142615396,0.014999999999999986
112,25.07577350570159,28.154475099809304,12.221862217184366,840.4381263888321,0.3955001167195729,0.0,0.7910881991564751,0.32323920321871147,32.0,3.0,8.0,600.0,448.11608310968813,297.38536281565456,150.73072029403355,0.013333333333333336
113,25.08034695529676,28.159816585873955,12.292905262400723,840.3139869277113,0.3967419117279974,0.0,0.7931896377867005,0.3249157145955172,32.0,3.0,8.0,600.0,444.2561985983018,295.7324256773807,148.52377292092112,0.011666666666666659
114,25.04961586129798,28.1330361472003,12.302345353476369,840.2266913828246,0.39960012379951715,0.0,0.7987349602907557,0.3302040202113381,32.0,3.0,8.0,600.0,446.4650815883505,296.75455064059935,149.7105309477511,0.010000000000000009
115,25.046479986330723,28.141322431626577,12.23018074508434,840.4708874683715,0.4006205633396418,0.0,0.8008934542832135,0.3318746924632354,32.0,3.0,8.0,600.0,451.982093831985,299.1096050775168,152.87248875446824,0.008333333333333331
116,25.060018104711958,28.17140841356712,12.165587316129688,840.4805028726482,0.3988013601406327,0.0,0.7975388675675682,0.3288790620356508,32.0,3.0,8.0,600.0,454.06644103429824,299.951236405604,154.11520462869422,0.006666666666666654
117,25.08034039876003,28.202346034353695,12.178041996832292,840.4003687671146,0.3965063137813535,0.0,0.7931270509350824,0.32492680755054343,32.0,3.0,8.0,600.0,450.63785512540204,298.45111071428215,152.1867444111199,0.0050000000000000044
118,25.089718014999164,28.213100837213744,12.24470943113215,840.2800150445415,0.39698676783331216,0.0,0.7937913667616858,0.3253213655593024,32.0,3.0,8.0,600.0,446.2356746339507,296.56057974470474,149.67509488924597,0.003333333333333355
119,25.064305304624668,28.18967269891027,12.271225347812788,840.1697819132708,0.39962661831501567,0.0,0.7988403914827663,0.33008505007421535,32.0,3.0,8.0,600.0,447.0076778946868,296.9561685062321,150.05150938845472,0.0016666666666666496
