time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
54,22.693978700031664,25.75629602614947,11.623292343052242,1005.2161558807072,0.3263850692936539,0.0,1.000000009959147,0.6153892859616944,32.0,3.0,8.0,600.0,244.50388329558425,0.11
55,22.710797967456813,25.774035109023487,11.784978939781467,1005.1089511073324,0.32848026518582113,0.0,1.0000000099585011,0.6155121422283973,32.0,3.0,8.0,600.0,239.84252955961978,0.10833333333333334
56,22.69512660224001,25.759282974078644,11.815871542533898,1005.1525682083357,0.3348890674693013,0.0,1.0000000099586526,0.6156387476054312,32.0,3.0,8.0,600.0,241.5084569046559,0.10666666666666667
57,22.678994921096034,25.7550319542857,11.67681000465302,1005.2726029303967,0.33744270215666183,0.0,1.0000000099593707,0.6156141133120375,32.0,3.0,8.0,600.0,246.61504683696074,0.10500000000000001
58,22.683318987167866,25.77907894705487,11.548608741097325,1005.311898354967,0.3346257209774316,0.0,1.000000009959861,0.6155121224650951,32.0,3.0,8.0,600.0,248.65436916553972,0.10333333333333333
59,22.70036290290227,25.8127395947904,11.555724624146023,1005.251459029064,0.32887539296358537,0.0,1.0000000099598747,0.6154128847242752,32.0,3.0,8.0,600.0,246.40488755002576,0.10166666666666668
60,22.718547047640243,25.834133560602766,11.697571303865175,1005.1445652438683,0.3280053627925491,0.0,1.0000000099593331,0.6154652658283741,32.0,3.0,8.0,600.0,241.8228253761111,0.1
61,22.713087137848163,25.82584545305997,11.788785618660881,1005.1333521131717,0.3344743995027504,0.0,1.0000000099591104,0.6156294773510114,32.0,3.0,8.0,600.0,241.13070085100975,0.09833333333333334
62,22.690796496761095,25.81118116498942,11.67900684398711,1005.2560022850456,0.3383335817873992,0.0,1.0000000099597903,0.6156380016688848,32.0,3.0,8.0,600.0,246.28414048682052,0.09666666666666666
63,22.69070144148992,25.828032405446322,11.532318634680166,1005.3224468536325,0.33664152226911614,0.0,1.000000009960336,0.6155442962786423,32.0,3.0,8.0,600.0,249.36643545309906,0.095
64,22.705254382436408,25.859549716853678,11.503571987685177,1005.2817092416054,0.331107803031839,0.0,1.0000000099604522,0.6154358478242892,32.0,3.0,8.0,600.0,248.01426960365117,0.09333333333333334
65,22.72438921887067,25.88389564267942,11.622932998872841,1005.1772235103404,0.32728518422137715,0.0,1.0000000099600153,0.6154167870015907,32.0,3.0,8.0,600.0,243.6001240755937,0.09166666666666667
66,22.729202596778293,25.88197170622243,11.772828170757464,1005.1114411222138,0.33368083624706146,0.0,1.0000000099594348,0.6156152787427588,32.0,3.0,8.0,600.0,240.5580133671236,0.09
67,22.701153101492366,25.856930644654142,11.694697489989835,1005.2342435219673,0.3387660334062684,0.0,1.0000000099600637,0.6156567033183763,32.0,3.0,8.0,600.0,245.65106579592606,0.08833333333333333
68,22.696591927679208,25.86600028283914,11.532576806457541,1005.3264322070219,0.33824249861154104,0.0,1.000000009960653,0.6155734471413528,32.0,3.0,8.0,600.0,249.7122018411326,0.08666666666666667
69,22.70828276898402,25.894502853350446,11.468355277289334,1005.3064020331605,0.3331324377875203,0.0,1.0000000099608668,0.6154601016592922,32.0,3.0,8.0,600.0,249.2936195072171,0.08500000000000002
70,22.727672373049643,25.92107929946178,11.56047842034252,1005.2081829184979,0.3271548176411809,0.0,1.000000009960546,0.6153855482688276,32.0,3.0,8.0,600.0,245.2137210549747,0.08333333333333333
71,22.74065611856969,25.925320734461934,11.748001612948826,1005.1021503561063,0.33268506510448376,0.0,1.0000000099597426,0.6155900542717191,32.0,3.0,8.0,600.0,240.45436760343568,0.08166666666666667
72,22.71127824031089,25.894772281391568,11.709675969357306,1005.210035870918,0.33869991963193324,0.0,1.0000000099602384,0.6156661073124197,32.0,3.0,8.0,600.0,244.8570326152307,0.08000000000000002
73,22.70178088522681,25.89555074529852,11.543996447423865,1005.3219677027733,0.33944107681652325,0.0,1.0000000099608557,0.615600605749799,32.0,3.0,8.0,600.0,249.6593357715429,0.07833333333333335
74,22.71008557646502,25.920130720174257,11.447411864823835,1005.325421267731,0.3351853897540205,0.0,1.000000009961164,0.6154907349980734,32.0,3.0,8.0,600.0,250.25208199126482,0.07666666666666666
75,22.728424785087725,25.94807027592219,11.503612124049084,1005.2413579096,0.32920207418273983,0.0,1.0000000099609825,0.6154050589194986,32.0,3.0,8.0,600.0,246.85155500906546,0.07500000000000001
76,22.743667447237385,25.958033443245085,11.67412823876731,1005.1335371587797,0.3318834711001866,0.0,1.0000000099602913,0.61554305814053,32.0,3.0,8.0,600.0,242.08278378529766,0.07333333333333333
77,22.72444796721669,25.935157971625756,11.694986535810244,1005.1886701248078,0.3381486768635459,0.0,1.0000000099604487,0.6156594612803185,32.0,3.0,8.0,600.0,244.21812442534363,0.07166666666666666
78,22.7087086221066,25.926992413625328,11.553639032762078,1005.3063651535775,0.34027688313277504,0.0,1.0000000099610666,0.6156265176319878,32.0,3.0,8.0,600.0,249.21861769623573,0.07
79,22.712987297817108,25.946486212563798,11.43435809715038,1005.3380373852524,0.3370967955137757,0.0,1.0000000099614574,0.6155224861789972,32.0,3.0,8.0,600.0,250.9207885754277,0.06833333333333333
80,22.72952474698718,25.97456597420978,11.45399797061134,1005.2722862402563,0.3312118479784684,0.0,1.0000000099613915,0.6154253310747908,32.0,3.0,8.0,600.0,248.3779769110819,0.06666666666666668
81,22.746413711242496,25.98939894320199,11.604652103454384,1005.1644252909939,0.3309514004660162,0.0,1.0000000099608026,0.6154937018407207,32.0,3.0,8.0,600.0,243.6830062070656,0.065
82,22.73754069171224,25.97401558737215,11.685357044988848,1005.1652159801376,0.33732568590865775,0.0,1.0000000099606188,0.6156483362486613,32.0,3.0,8.0,600.0,243.4755420088864,0.06333333333333332
83,22.715738645881004,25.956448406886125,11.571977701059609,1005.2862502049679,0.34079150857171947,0.0,1.0000000099612192,0.6156485801944613,32.0,3.0,8.0,600.0,248.56086348178502,0.061666666666666675
84,22.715788934208717,25.96986423911119,11.432885475582736,1005.3454485263824,0.3387419123983959,0.0,1.0000000099616786,0.615552411163468,32.0,3.0,8.0,600.0,251.33266607851897,0.060000000000000026
85,22.73008436955479,25.996939963302225,11.415975182051227,1005.299253429841,0.33306292697601525,0.0,1.0000000099617212,0.6154456511964645,32.0,3.0,8.0,600.0,249.6929139348102,0.05833333333333332
86,22.748178972443668,26.015782544036483,11.544144660814311,1005.193422419297,0.3298560939076543,0.0,1.000000009961236,0.6154430026296811,32.0,3.0,8.0,600.0,245.15829512971888,0.05666666666666667
87,22.74973294318187,26.00765432110427,11.683459288400968,1005.1397885440631,0.33620280945612907,0.0,1.0000000099607167,0.6156327442588888,32.0,3.0,8.0,600.0,242.60335113130546,0.05500000000000002
88,22.722211575801225,25.980510157189883,11.600674952759789,1005.2616888805757,0.3409283607456531,0.0,1.0000000099612838,0.6156660311974879,32.0,3.0,8.0,600.0,247.6638704303408,0.053333333333333344
89,22.717942415249468,25.987069895718946,11.444892804486926,1005.3470919798654,0.3400430925690851,0.0,1.0000000099617992,0.6155796521970238,32.0,3.0,8.0,600.0,251.44221279976773,0.051666666666666666
90,22.729619675219396,26.01210683480315,11.392067585610448,1005.3213150673847,0.33468496378852514,0.0,1.0000000099619435,0.6154655883551431,32.0,3.0,8.0,600.0,250.73371071405313,0.04999999999999999
91,22.748448538458035,26.034105177591243,11.495268286880503,1005.2197317172105,0.3286563267800004,0.0,1.0000000099615642,0.6153933992797527,32.0,3.0,8.0,600.0,246.4521628766793,0.04833333333333334
92,22.7601321877342,26.032932758712036,11.688996097803397,1005.113902796982,0.33477952171936676,0.0,1.0000000099607294,0.6156122062660244,32.0,3.0,8.0,600.0,241.64852599032452,0.04666666666666666
93,22.72772944073074,25.996740752781648,11.639345053321165,1005.2330465580383,0.3406514692820577,0.0,1.0000000099612434,0.6156781142786808,32.0,3.0,8.0,600.0,246.52762231099857,0.044999999999999984
94,22.719083486000727,25.99587097140443,11.470911423740574,1005.3425558385478,0.34099726064057795,0.0,1.0000000099618027,0.6156047878083281,32.0,3.0,8.0,600.0,251.22057592529833,0.043333333333333335
95,22.7276821959868,26.01793785149374,11.382465582272744,1005.3387212300489,0.33643701373714485,0.0,1.0000000099620479,0.6154936432944231,32.0,3.0,8.0,600.0,251.49736827412687,0.041666666666666685
