time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
92,22.289551496343165,25.649875491409432,5.0,917.7937014042672,1.0,0.0,0.5930388751963214,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.04666666666666666
93,22.256767970517842,25.610182548515468,5.0,920.9863568972005,1.0,0.0,0.5680007063872283,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.044999999999999984
94,22.30414115491169,25.605936636500417,5.0,931.2792871585511,1.0,0.0,0.5925155295664903,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.043333333333333335
95,22.325383851507127,25.62700319674235,5.0,929.3186754338001,1.0,0.0,0.608213648165634,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.041666666666666685
96,22.32129663083367,25.650840437840998,5.0,922.80229565748,1.0,0.0,0.6104293639956409,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.03999999999999998
97,22.297342327426634,25.65487484551693,5.0,918.1854386216509,1.0,0.0,0.5979206777774486,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.03833333333333333
98,22.264583230717108,25.62418186617333,5.0,919.6018552086422,1.0,0.0,0.5744577755661071,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.03666666666666668
99,22.29317882062753,25.611979236657362,5.0,928.2684082674043,1.0,0.0,0.5873913346468252,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.035
100,22.321644917927415,25.628528293159604,5.0,929.2334358067322,1.0,0.0,0.6059533668822501,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.033333333333333326
101,22.32359771204233,25.653530197049122,5.0,923.5189591693285,1.0,0.0,0.6116493063481725,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.031666666666666676
102,22.3037121222618,25.663656406643213,5.0,918.2009444299462,1.0,0.0,0.602448935910268,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.03
103,22.272001883781797,25.64157295800493,5.0,918.1071918690717,1.0,0.0,0.5809941934266265,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.02833333333333335
104,22.281507044535715,25.62070803400968,5.0,925.1756010824229,1.0,0.0,0.5820481827107282,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.026666666666666672
105,22.316811839824084,25.631506917360525,5.0,929.1512407092068,1.0,0.0,0.6030629483197292,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.024999999999999994
106,22.324907829268568,25.65631509028526,5.0,924.4510751340453,1.0,0.0,0.6120925088956851,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.023333333333333345
107,22.309579177147384,25.67151245501259,5.0,918.6039256714296,1.0,0.0,0.60634401826457,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.021666666666666667
108,22.27960835677061,25.65769889420119,5.0,917.0535871286938,1.0,0.0,0.5872802794303043,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.01999999999999999
109,22.269874984534,25.62784114496884,5.0,922.4470741015109,1.0,0.0,0.5763885902187991,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.01833333333333334
110,22.311346573854735,25.631957184466216,5.0,929.377233634224,1.0,0.0,0.5993936996501139,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.016666666666666663
111,22.32546446975192,25.655388609807517,5.0,925.8322305771853,1.0,0.0,0.6115455415490912,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.014999999999999986
112,22.315022471046007,25.674695562771944,5.0,919.6059336563123,1.0,0.0,0.6093290364053352,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.013333333333333336
113,22.28739935214014,25.668798188931873,5.0,916.65633223152,1.0,0.0,0.5929973473804311,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.011666666666666659
114,22.258628715476675,25.629940582009624,5.0,920.312407182863,1.0,0.0,0.5703377721440328,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.010000000000000009
115,22.305447110051148,25.626711203210675,5.0,930.0810313904014,1.0,0.0,0.5948363914414987,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.008333333333333331
116,22.325328541454837,25.647740319236675,5.0,927.804524687052,1.0,0.0,0.609842815434311,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.006666666666666654
117,22.319995915970196,25.67023708126618,5.0,921.3505640034294,1.0,0.0,0.6111756858860297,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.0050000000000000044
118,22.295274651619025,25.671862462938122,5.0,917.0750474540002,1.0,0.0,0.5978699840342487,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.003333333333333355
119,22.262455785633335,25.63830612507047,5.0,918.9508803305692,1.0,0.0,0.5739517081680713,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.0016666666666666496
